group_id	canonical_label	n_members	confidence	members	action
G0468	Prone positioning during extracorporeal membrane oxygenation	2	0.6	Prone positioning during extracorporeal membrane oxygenation | Prone positioning during ECMO	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0469	Survival rate at 60 days	2	0.667	Survival rate at 60 days | Survival rate	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0470	None specified	3	0.667	none | None specified | none stated	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0471	clinical worsening in patients hospitalized with COVID-19 pneumonia	10	0.667	Mortality in hospitalized patients with Covid-19 | clinical worsening in patients hospitalized with COVID-19 pneumonia | mortality among critically ill patients with COVID-19 | COVID-19 | dexamethasone treatment for hospitalized COVID-19 | Reduced 28-day mortality in hospitalized COVID-19 | Reduced mortality in COVID-19 critical illness | Increased mortality in COVID-19 ARDS | Reduced in-hospital mortality in COVID-19 ARDS | Mortality due to COVID-19 pneumonia	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0477	lung ultrasound using the BLUE protocol	5	0.667	lung ultrasound using the BLUE protocol | BLUE protocol lung ultrasound | lung ultrasound | lung ultrasound (BLUE protocol) | BLUE protocol	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0479	successful discontinuation of mechanical ventilation	29	0.667	mechanical ventilation | weaning patients from mechanical ventilation | successful weaning from mechanical ventilation | injurious mechanical ventilation | duration of mechanical ventilation | Noninvasive mechanical ventilation | liberation from mechanical ventilation | protocol weaning of mechanical ventilation | Intraoperative protective mechanical ventilation | prolonged mechanical ventilation | weaning from mechanical ventilation | mechanical ventilation outcome | need for mechanical ventilation | use in patients receiving mechanical ventilation | Mechanical ventilation outcomes | Reduced duration of mechanical ventilation | Hyperoxia during mechanical ventilation | Longer duration of mechanical ventilation | Weaning methods from mechanical ventilation | Mechanical ventilation strategies | Mechanical ventilation strategy | successful discontinuation of mechanical ventilation | mechanical ventilation parameters | Requirement for mechanical ventilation | effect on mechanical ventilation | weaning success from mechanical ventilation | invasive mechanical ventilation | ventilation | Early predictors of mechanical ventilation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0481	30-day mortality and postoperative pulmonary complications	8	0.667	mortality and pulmonary complications | perioperative pulmonary complications | occurrence of pulmonary complications | pulmonary complications | acute complications and mortality | Reduced pulmonary complications | Prevention of pulmonary complications | 30-day mortality and postoperative pulmonary complications	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0482	Corticosteroids treatment ards	3	0.667	corticosteroids | Corticosteroids for ARDS | Corticosteroids treatment ards	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0483	use of low tidal volume ventilation in teaching hospitals	16	0.6	intraoperative low-tidal-volume ventilation | lower tidal volume ventilation | low tidal volume ventilation 6ml/kg PBW | reduced tidal volume ventilation | high tidal volume ventilation | low tidal volume strategy | low tidal volume ventilation | large tidal volume ventilation | Adoption of low tidal volume ventilation | Mechanical ventilation with low tidal volume | Low vs Intermediate Tidal Volume Strategy | low tidal volume ventilation strategy | low tidal volume ventilator therapy | use of low tidal volume ventilation in teaching hospitals | low-tidal-volume ventilation | Ventilation strategy using low tidal volumes	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0484	transfer to an intensive care unit where early activity is a priority	7	0.667	early intensive care unit mobility therapy | intensive care unit outcomes | transfer to an intensive care unit where early activity is a priority | intensive care unit management | intensive care unit length of stay | intensive care unit | medical intensive care unit	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0485	days alive and ventilator-free during the first 28 days	11	0.667	Days alive and ventilator-free | ventilator-free days | Ventilator- and Vasopressor-Free Days | Increased ventilator-free days | Reduced ventilator-free days | Similar ventilator-free days | Ventilator- and vasopressor-free days in first 30 days | No change in mortality or ventilator-free days | Improved ventilator-free days | days alive and ventilator-free during the first 28 days | Statistical evaluation of ventilator-free days	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0487	survival and quality of life	4	0.667	survival and quality of life | quality of life | quality-adjusted survival | Quality of life assessment	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0488	Mechanical ventilation guided by esophageal pressure	2	0.6	Mechanical ventilation guided by esophageal pressure | esophageal pressure-guided PEEP titration	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0490	major adverse outcomes after major abdominal surgery	2	0.615	major adverse outcomes after major abdominal surgery | Reduced serious adverse events after major surgery	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0493	prolonged methylprednisolone therapy	3	0.667	prolonged methylprednisolone therapy | methylprednisolone therapy | Methylprednisolone	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0494	pulmonary-artery-catheter-guided-hemodynamic-management	8	0.667	Pulmonary-artery catheter | pulmonary artery catheter | early use of the pulmonary artery catheter | pulmonary-artery catheter-guided treatment | pulmonary-artery-catheter-guided-hemodynamic-management | Pulmonary artery catheter (PAC) | early use of pulmonary artery catheter | Pulmonary-artery versus central venous catheter	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0495	fluid responsiveness predicted by respiratory changes in inferior vena cava diameter	4	0.6	respiratory changes in inferior vena cava diameter monitoring | respiratory changes in inferior vena cava diameter | fluid responsiveness predicted by respiratory changes in inferior vena cava diameter | inferior vena cava	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0496	fluid responsiveness in ventilated septic patients	2	0.667	fluid responsiveness in ventilated septic patients | fluid responsiveness	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0497	Initial trophic vs full enteral feeding in patients with acute lung injury	10	0.667	trophic vs full enteral feeding | trophic versus full enteral feeding | initial trophic enteral feeding | trophic enteral feeding for first 6 days | Trophic vs full enteral feeding in first 6 days of mechanical ventilation | initial trophic versus full enteral feeding | Initial trophic vs full enteral feeding in patients with acute lung injury | enteral feeding | Full enteral feeding first 6d | Trophic enteral feeding first 6d	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0498	Survival at 6 months	6	0.667	survival | 5-year survival | ARDS survival | Improved survival | Survival at 6 months | in-hospital survival	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0502	early treatment with tocilizumab	2	0.667	Tocilizumab | early treatment with tocilizumab	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0503	hospitalization duration	2	0.667	hospitalization duration | hospitalization	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0505	enteral feeding with eicosapentaenoic acid, gamma-linolenic acid, and antioxidants	2	0.6	enteral feeding with eicosapentaenoic acid, gamma-linolenic acid, and antioxidants | gamma-linolenic acid	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0506	cellular repair mechanisms in ventilator-associated lung injury	11	0.667	ventilator-associated lung injury | prevention of ventilator-induced lung injury | ventilator-induced lung injury | trauma-associated lung injury | Reduced ventilator-induced lung injury in ARDS | ARDS-associated lung injury | cellular repair mechanisms in ventilator-associated lung injury | Prevention of ventilator-associated lung injury | Trauma-associated lung injury management | ventilator-induced lung injury prevention | ventilator-associated	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0511	postoperative morbidity and mortality rates	5	0.667	morbidity and mortality | postoperative morbidity and mortality rates | Morbidity and mortality rates | characteristics, morbidity, and mortality | morbidity	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0513	aerosolized synthetic surfactant	3	0.667	aerosolized surfactant | aerosolized synthetic surfactant | surfactant	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0516	Haloperidol and Ziprasidone	2	0.667	Haloperidol and Ziprasidone | Haloperidol	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0517	clinical phenotypes of delirium during critical illness	8	0.667	Treatment of Delirium in Critical Illness | outcome in critical illness | delirium in critical illness | critical illness | haloperidol for delirium in critical illness | delirium phenotyping in critical illness | Reconceptualization of critical illness | clinical phenotypes of delirium during critical illness	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0521	Rosuvastatin ards	2	0.667	Rosuvastatin | Rosuvastatin ards	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0523	COVID-19 complications	5	0.667	COVID-19 progression | severe COVID-19 | COVID-19 infection | COVID-19 complications | Covid-19 Pneumonia	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0526	volume status in ventilated septic patients	2	0.667	volume status in ventilated septic patients | volume status	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0527	Noninvasive ventilation delivered by helmet	6	0.667	Helmet Noninvasive Ventilation | Noninvasive ventilation delivered by helmet | early noninvasive ventilation | Noninvasive ventilation success | use of noninvasive ventilation | Noninvasive Ventilation vs Oxygen Therapy	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0529	simvastatin for ARDS	2	0.667	Simvastatin | simvastatin for ARDS	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0533	detection of hypoventilation by pulse oximetry	3	0.667	detection of hypoventilation by pulse oximetry | Detection of hypoventilation | pulse oximetry	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0535	Lung aeration and recruitment assessment by CT scan and ultrasound	5	0.667	CT Scan and Ultrasound assessment | computed tomography scan and lung ultrasound assessment | Lung aeration and recruitment assessment by CT scan and ultrasound | ultrasound assessment | CT Scan	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0536	Lung ultrasound for assessment of lung aeration and recruitment in ARDS	2	0.667	Lung aeration and recruitment | Lung ultrasound for assessment of lung aeration and recruitment in ARDS	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0538	PaCO2 levels	2	0.667	PaCO2 | PaCO2 levels	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0540	clinical outcomes of critically ill patients with COVID-19	3	0.6	clinical outcomes during the COVID-19 pandemic | clinical outcomes of critically ill patients with COVID-19 | Severe COVID-19 outcomes	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0541	extracorporeal CO2 removal	2	0.667	extracorporeal CO2 removal | Ecco2r co2 removal	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0542	feasibility and safety	3	0.667	feasibility and safety | feasibility | safety	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0543	Early venovenous ECMO	4	0.667	venovenous ECMO | ECMO | Early venovenous ECMO | Ecmo treatment	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0547	need for endotracheal intubation	5	0.667	Oral Endotracheal Intubation | endotracheal intubation | Rate of endotracheal intubation | need for endotracheal intubation | Reduced endotracheal intubation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0553	identifying patients capable of breathing spontaneously	2	0.667	identifying patients capable of breathing spontaneously | breathing spontaneously	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0555	low-volume, pressure-limited ventilation with permissive hypercapnia	5	0.6	pressure- and volume-limited ventilation strategy | low-volume, pressure-limited ventilation with permissive hypercapnia | pressure- and volume-limited ventilation | Pressure-limited ventilation | Pressure volume limitation strategy pls	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0556	prevention of barotrauma	2	0.667	prevention of barotrauma | barotrauma	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0558	respiratory failure resulting from exacerbations of chronic obstructive pulmonary disease	4	0.667	respiratory failure resulting from exacerbations of chronic obstructive pulmonary disease | weaning of patients with respiratory failure due to chronic obstructive pulmonary disease | management of acute exacerbations of chronic obstructive pulmonary disease | chronic obstructive pulmonary disease	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0559	spontaneous breathing trials with T-tube or pressure support ventilation	4	0.615	spontaneous breathing trials with T-tube or pressure support ventilation | pressure support ventilation | T-tube spontaneous breathing trial | Airway pressure release ventilation with spontaneous breathing	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0560	extubation outcome	3	0.667	extubation outcome | outcome | extubation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0561	Tidal volume reduction for ARDS	5	0.667	tidal volume reduction | tidal volume | high tidal volume | Tidal volume reduction for ARDS | ARDSnet tidal volume study	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0565	Methylprednisolone infusion in early severe ARDS	5	0.667	early severe ARDS | severe ARDS | Severe hypercapnia in ARDS | Methylprednisolone infusion in early severe ARDS | Nppv early ards	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0566	respiratory physiotherapy	3	0.667	Physiotherapy | respiratory physiotherapy | Physiotherapy target	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0570	long-term survival	4	0.667	long-term effects | long-term survival | long-term outcome | long-term outcomes	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0580	Sustained neuromuscular blockade	2	0.667	Sustained neuromuscular blockade | Scheduled neuromuscular blockade	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0585	severe sepsis with respiratory dysfunction	8	0.667	treatment of severe sepsis | severe sepsis with respiratory dysfunction | outcome of severe sepsis | severe sepsis | Incidence of severe sepsis in Finland | Treatment for severe sepsis | Incidence of severe sepsis | Sepsis	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0588	Inspiratory Pressure Augmentation During Spontaneous Breathing Trials, Protocols Minimizing Sedation, and Noninvasive Ventilation Immediately After Extubation	2	0.636	Inspiratory Pressure Augmentation During Spontaneous Breathing Trials, Protocols Minimizing Sedation, and Noninvasive Ventilation Immediately After Extubation | inspiratory pressure augmentation during spontaneous breathing trials	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0589	aerosolized β₂-agonist	2	0.667	aerosolized β₂-agonist | aerosolized β2-agonist	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0590	Intraoperative high-dose dexamethasone for cardiac surgery	4	0.667	high-dose dexamethasone | intraoperative high-dose dexamethasone | high-dose dexamethasone administered intraoperatively | Intraoperative high-dose dexamethasone for cardiac surgery	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0594	weaning time and incidence of ventilator-associated pneumonia	7	0.667	weaning time and incidence of ventilator-associated pneumonia | occurrence of ventilator-associated pneumonia | ventilator-associated pneumonia management | incidence of ventilator-associated pneumonia | ventilator-associated pneumonia incidence | Elevated incidence of ventilator-associated pneumonia | ventilator-associated pneumonia	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0595	titrating positive end-expiratory pressure (PEEP) with an esophageal pressure-guided strategy	3	0.667	titrating positive end-expiratory pressure (PEEP) with an esophageal pressure-guided strategy | esophageal pressure-guided PEEP titration strategy | Effect of Titrating Positive End-Expiratory Pressure	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0596	death before hospital discharge and days free from mechanical ventilation during the first 28 days	4	0.625	death and days free from mechanical ventilation | mechanical ventilation or death by day 28 | composite of death and days free from mechanical ventilation at 28 days | death before hospital discharge and days free from mechanical ventilation during the first 28 days	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0602	computer-driven protocolized weaning from mechanical ventilation	2	0.6	computer-driven protocolized weaning from mechanical ventilation | Computer-driven weaning protocol	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0603	Decreased weaning success	6	0.667	weaning success rate | weaning success | Decreased weaning success | Increased weaning rate | Treatment success rate | Extubation success rate	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0605	physiologic effects	2	0.667	physiologic effects | Physiologic	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0606	Noninvasive ventilation during persistent weaning failure	3	0.667	persistent weaning failure | weaning failure | Noninvasive ventilation during persistent weaning failure	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0608	hospital length of stay	3	0.667	hospital length of stay | Longer hospital stay | Reduced hospital stay	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0611	inflammatory response	2	0.667	inflammatory response | Inflammatory	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0619	Rehabilitation Protocols, Ventilator Liberation Protocols, and Cuff Leak Tests	3	0.6	ventilator liberation protocols | Improved ventilator liberation | Rehabilitation Protocols, Ventilator Liberation Protocols, and Cuff Leak Tests	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0620	noninvasive ventilation as a systematic extubation and weaning technique	2	0.6	systematic extubation and weaning success | noninvasive ventilation as a systematic extubation and weaning technique	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0624	initial trophic versus full-energy enteral nutrition	3	0.667	initial trophic versus full-energy enteral nutrition | initial trophic enteral nutrition | trophic enteral nutrition for initial 6 days	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0625	Recombinant Human Soluble Thrombomodulin on Mortality in Patients With Sepsis-Associated Coagulopathy	2	0.667	recombinant human soluble thrombomodulin | Recombinant Human Soluble Thrombomodulin on Mortality in Patients With Sepsis-Associated Coagulopathy	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0630	Survival in the first year	3	0.667	two year survival | Improved 5-year survival | Survival in the first year	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0631	Bilevel positive airway pressure (BPV) for acute asthmatic attack	3	0.667	bilevel positive airway pressure | prophylactic nasal continuous positive airway pressure | Bilevel positive airway pressure (BPV) for acute asthmatic attack	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0635	status asthmaticus inflammatory profile	3	0.667	status asthmaticus | status asthmaticus inflammatory profile | asthmaticus	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0636	Benefits and risks of success or failure	4	0.667	success or failure | treatment failure | success or failure of ventilation | Benefits and risks of success or failure	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0639	intensive physical therapy program	2	0.667	intensive physical therapy program | Intensive PT program	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0640	Reintubation requirement	6	0.667	Reintubation | reintubation outcome | need for reintubation | Reintubation rate | Reintubation 48h | Reintubation requirement	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0644	low doses of corticosteroids	2	0.667	low doses of corticosteroids | low-dose corticosteroids	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0645	incidence of acute respiratory distress syndrome and severity of multiple organ dysfunction in patients with septic shock	2	0.6	effect in septic shock patients with or without early acute respiratory distress syndrome | incidence of acute respiratory distress syndrome and severity of multiple organ dysfunction in patients with septic shock	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0652	reintubation after scheduled extubation	2	0.667	scheduled extubation | reintubation after scheduled extubation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0653	Effects of patient-directed music intervention on anxiety and sedative exposure	4	0.667	patient-directed music intervention | patient-directed music | Effects of patient-directed music intervention on anxiety and sedative exposure | Patient directed music pdm	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0657	outcome in patients with septic shock	3	0.667	outcome in patients with septic shock | septic shock | Septic shock hypovolemia	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0660	arterial hyperoxia	2	0.667	arterial hyperoxia | Hyperoxia	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0663	use of noninvasive ventilation in French intensive care units	3	0.667	use in French intensive care units | use of noninvasive ventilation in French intensive care units | Admission to intensive care units	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0665	computed tomography scan and lung ultrasound	4	0.667	computed tomography scan assessment | computed tomography scan | computed tomography scan and lung ultrasound | computed tomography	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0666	Inspiratory muscle strength training improves weaning outcome in failure to wean patients	2	0.615	Inspiratory muscle strength training | Inspiratory muscle strength training improves weaning outcome in failure to wean patients	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0667	Improved weaning outcome	3	0.667	weaning outcome | Improved weaning outcome | weaning	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0668	Effects of systematic prone positioning in hypoxemic acute respiratory failure	3	0.625	effects of increasing flow rates on acute hypoxemic respiratory failure | physiological effects of increasing flow rates | Effects of systematic prone positioning in hypoxemic acute respiratory failure	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0676	Increased ambulation	2	0.667	ambulation | Increased ambulation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0680	outcome during endotracheal intubation in hypoxemic patients	3	0.667	outcome during endotracheal intubation in hypoxemic patients | oxygen saturation during endotracheal intubation | Oxygenation during endotracheal intubation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0684	Improvement in respiratory function	7	0.667	lung function improvement | Improved lung function | lung function | Respiratory function improvement | Improvement in respiratory function | Improvement in lung function | Pulmonary function improvement	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0686	Early tocilizumab treatment in COVID-19 critical illness	3	0.6	severe or critical COVID-19 | Early tocilizumab treatment in COVID-19 critical illness | intensive care management for severe COVID-19	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0689	decremental positive end-expiratory pressure levels	2	0.667	decremental positive end-expiratory pressure levels | end-expiratory pressure	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0691	Strategies to reduce postoperative pulmonary complications after noncardiothoracic surgery	3	0.615	pulmonary complications after abdominal surgery | Reduced pulmonary complications after abdominal surgery | Strategies to reduce postoperative pulmonary complications after noncardiothoracic surgery	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0693	postoperative respiratory failure	5	0.667	adult respiratory failure | treat respiratory failure | postoperative respiratory failure | Reduced respiratory failure | Incidence of respiratory failure	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0706	varying levels of pressure support and neurally adjusted ventilatory assist	3	0.615	varying levels of pressure support and neurally adjusted ventilatory assist | neurally adjusted ventilatory assist | neurally adjusted ventilatory assist (NAVA)	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0708	Prevention of endotracheal suctioning-induced alveolar derecruitment	3	0.667	endotracheal suctioning prevention | endotracheal suctioning | Prevention of endotracheal suctioning-induced alveolar derecruitment	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0709	No reduction in intubation risk	5	0.667	risk of intubation | No reduction in intubation risk | Increased intubation risk hfnc | Increased intubation risk niv | No reduction intubation risk	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0710	use of sedatives and neuromuscular blockers in mechanical ventilation	4	0.667	use of sedatives and neuromuscular blockers in mechanical ventilation | sedatives and neuromuscular blockers | use of sedatives and neuromuscular blockers | Use of neuromuscular blockers	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0711	hemodynamic effects	2	0.667	hemodynamic effects | hemodynamic	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0713	prevalence, etiologies and outcome of acute respiratory distress syndrome among hypoxemic ventilated patients	2	0.632	outcome of mechanically ventilated patients with moderate or severe acute respiratory distress syndrome | prevalence, etiologies and outcome of acute respiratory distress syndrome among hypoxemic ventilated patients	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0716	Respiratory function measurement	3	0.667	respiratory function | Respiratory function measurement | Respiratory	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0717	unintended exposure to high tidal volumes from breath stacking dyssynchrony	3	0.6	high tidal volumes from breath stacking dyssynchrony | unintended exposure to high tidal volumes from breath stacking dyssynchrony | Quantification of breath stacking dyssynchrony	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0719	Pressure limitation with permissive hypercapnia	3	0.667	permissive hypercapnia | Pressure limitation with permissive hypercapnia | hypercapnia	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0728	death or hospital discharge with severe disability or coma	3	0.667	death or severe disability at 6 months | death or hospital discharge with severe disability or coma | Composite death or severe disability 90d	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0730	Severity of subsequent long-term cognitive impairment	4	0.667	long-term cognitive impairment | long-term cognitive impairment severity | Severity of subsequent long-term cognitive impairment | cognitive impairment	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0737	restrictive strategy of red blood cell transfusion	3	0.667	restrictive transfusion strategy | Restrictive red blood cell transfusion strategy | restrictive strategy of red blood cell transfusion	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0738	ICU and hospital mortality	5	0.667	ICU mortality | ICU treatment | Increased ICU mortality | ICU and hospital mortality | ICU	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0739	Death before discharge home or before 28 days	2	0.667	death before discharge home by day 60 | Death before discharge home or before 28 days	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
