:START_ID,:END_ID,:TYPE,weight:float,confidence,label,context_required,source,source_pmids,source_years,n_sources:int
tocilizumab-treatment-covid-19-pneumonia,reduced-who-cps-above-5-day4,BENEFICIAL,0.89,MEDIUM,ARD -9.0% (90% CrI -21.0 to 3.1),COVID-19-pneumonia,curated,33080017,2021,1
ards-subphenotype-identification,ards-hyperinflammatory-phenotype,MECHANISM,0.88,HIGH,Hyperinflammatory subphenotype associated with worse outcomes,acute-respiratory-distress-syndrome,curated,24853585,2014,1
computer-driven-weaning-protocol,reduced-total-ventilation-duration,BENEFICIAL,0.88,HIGH,"Median total ventilation 7.5d vs 12d, p=0.003",mechanical-ventilation,curated,16840741,2006,1
haloperidol-for-delirium-in-critical-illness,days-alive-without-delirium-or-coma,NULL,0.88,HIGH,"OR 0.88 (0.64-1.21), p=0.26",delirium-in-critical-illness,curated,30346242,2018,1
implementation-of-icu-nutrition-management-protocol,reduced-duration-of-mechanical-ventilation,BENEFICIAL,0.88,HIGH,"Adjusted mean difference -6.7 days, p=0.03",critical-illness,curated,15078758,2004,1
implementation-of-icu-nutrition-management-protocol,reduced-in-hospital-mortality,BENEFICIAL,0.88,HIGH,"Hazard ratio 0.44 (0.24-0.80), p=0.007",critical-illness,curated,15078758,2004,1
nasal-high-flow-oxygen-therapy-nhf,reduced-interface-displacements,BENEFICIAL,0.88,HIGH,"Fewer interface displacements (32% vs 56%, p=0.01)",postextubation,curated,25003980,2014,1
non-invasive-ventilation-during-acute-respiratory-failure,increased-intubation-28d,HARMFUL,0.88,HIGH,OR 4.25 (1.33-13.56),severe-acute-respiratory-failure|immunocompromised,curated,27245914,2016,1
noninvasive-ventilation-niv,reduced-incidence-of-septic-shock,BENEFICIAL,0.88,HIGH,"6/51 (12%) vs 17/54 (31%), p=0.028",severe-acute-hypoxemic-respiratory-failure,curated,14500259,2003,1
once-daily-spontaneous-breathing-trial,reduced-weaning-duration,BENEFICIAL,0.88,HIGH,Median duration 3 days vs 4-5 days for other methods,weaning-from-mechanical-ventilation,curated,7823995,1995,1
pes-guided-peep-titration-ards,reduced-need-for-rescue-therapy,BENEFICIAL,0.88,MEDIUM,"4/102 (3.9%) vs 12/98 (12.2%), RD -8.3% (-15.8% to -0.8%), p=0.04",ards,curated,30776290,2019,1
prone-positioning,reduced-mortality-ards-60d-lowtv,BENEFICIAL,0.88,HIGH,"RR 0.66 (0.50-0.86), p=0.002",ards|low-tidal-volume-ventilation,curated,24435203,2014,1
120-minute-spontaneous-breathing-trial,reintubation-48h,NULL,0.87,HIGH,"13.5% vs 13.4%, p=0.32",mechanical-ventilation-weaning,curated,9927366,1999,1
30-minute-spontaneous-breathing-trial,reintubation-48h,NULL,0.87,HIGH,"13.5% vs 13.4%, p=0.32",mechanical-ventilation-weaning,curated,9927366,1999,1
aerosolized-albuterol,ventilator-free-days,NULL,0.87,HIGH,"Means 14.4 vs 16.6 days, 95% CI -4.7 to 0.3, p=0.087",acute-lung-injury,curated,21562125,2011,1
avoided-intubation,reduced-icu-mortality,BENEFICIAL,0.87,HIGH,"6% vs 53% ICU mortality, p<0.001",ards,curated,17133177,2007,1
corticosteroids-prevention-ards,increased-ards-odds,TREND,0.87,MEDIUM,"OR 1.55 (0.58-4.05), P(OR>=1)=86.6%",critical-illness,curated,18434379,2008,1
awake-prone-positioning,reduced-treatment-failure-intubation-or-death-28d,BENEFICIAL,0.86,HIGH,RR 0.86 (0.75-0.98),COVID-19-acute-hypoxaemic-respiratory-failure,curated,34425070,2021,1
cuff-leak-test,reintubation-for-upper-airway-obstruction,DIAGNOSTIC,0.86,MEDIUM,Pooled specificity 0.86 (0.81-0.90),,curated,19399474,2009,1
adjunctive-corticosteroid-therapy,increased-hyperglycemia-requiring-treatment,HARMFUL,0.85,HIGH,"RR 1.49 (1.01-2.19), ARD +3.5%",community-acquired-pneumonia,curated,26258555,2015,1
aerosolized-albuterol,mortality-before-hospital-discharge,NULL,0.85,HIGH,"23.0% vs 17.7%, 95% CI -4.0% to 14.7%, p=0.30",acute-lung-injury,curated,21562125,2011,1
aerosolized-albuterol,atrial-fibrillation-incidence,NULL,0.85,HIGH,"10% in both groups, no significant difference",acute-lung-injury,curated,21562125,2011,1
avoided-intubation,reduced-vap,BENEFICIAL,0.85,HIGH,"2% vs 20% VAP, p<0.001",ards,curated,17133177,2007,1
