poi_id:ID,id_slug,label,subset:LABEL,parent,definition,synonym,xref_DOID,xref_MESH,xref_UMLS,source,source_pmids,n_sources:int
ARDS_POI:01025,no-change-in-nonpulmonary-organ-failures,No change in nonpulmonary organ failures,POI_outcome,,,,,,,kg_nodes,16714767,1
ARDS_POI:01026,acute-lung-injury,Acute lung injury,POI_context,,,,,D012128,C0035222,kg_nodes,11549535|24716641|19103612|19841457|15269312|18270352|11902249|20558628|21976613|19050621|11435237|24247473|15286546|18565951|15644641|7633703|16374174|8275731|9817720|22491953|22307571|8004312|19325471|21562125|12615633|20483951|15034650|16714768|19001507|16081548|16714767|10470568|17944012,33
ARDS_POI:01027,diuresis,Diuresis,POI_mechanism,biological-process,,,,,,mechanism_node,16714767,1
ARDS_POI:01028,fluid-restriction,Fluid Restriction,POI_mechanism,biological-process,,,,,,mechanism_node,16714767,1
ARDS_POI:01029,lung-function-improvement,Lung Function Improvement,POI_mechanism,biological-process,,,,,,mechanism_node,16714767,1
ARDS_POI:01030,extrapulmonary-organ-perfusion,Extrapulmonary Organ Perfusion,POI_mechanism,biological-process,,,,,,mechanism_node,16714767,1
ARDS_POI:01031,extracorporeal-membrane-oxygenation-ecmo,Extracorporeal membrane oxygenation (ECMO),POI_intervention,extracorporeal-life-support,,,DOID:11394,D005033,C0015879,robot_template_row,9315812|19762075|34127027|25062496|23406535,5
ARDS_POI:01032,ecmo,Extracorporeal membrane oxygenation,POI_intervention,,,,,D005033,C0015879,kg_nodes,19762075,1
ARDS_POI:01033,conventional-ventilation-management,Conventional ventilation management,POI_intervention,,,,,,,kg_nodes,19762075,1
ARDS_POI:01034,death-or-severe-disability-6m,Death or severe disability at 6 months,POI_outcome,,,,,,,kg_nodes,19762075,1
ARDS_POI:01035,severe-adult-respiratory-failure,Severe adult respiratory failure,POI_intervention,,,,,D012128,C0035222,kg_nodes,19762075,1
ARDS_POI:01036,sars-cov-2-induced-hypercoagulability,SARS-CoV-2-induced hypercoagulability,POI_mechanism,,,,,,,kg_nodes,32367170,1
ARDS_POI:01037,covid-19-ards-associated-thrombosis,Thrombotic complications in COVID-19 ARDS,POI_outcome,,,,,,,kg_nodes,32367170,1
ARDS_POI:01038,covid-19-endothelial-dysfunction,COVID-19-induced endothelial dysfunction,POI_mechanism,,,,,,,kg_nodes,32367170,1
ARDS_POI:01039,covid-19-induced-procoagulant-state,COVID-19-induced procoagulant state,POI_mechanism,,,,,,,kg_nodes,32367170,1
ARDS_POI:01040,covid-19-ards,COVID-19-associated ARDS,POI_context,,,,,D012128,C0035222,kg_nodes,32367170|32859264|32616077|32861275|34127027|32697482,6
ARDS_POI:01041,covid-19,COVID-19,POI_disease,,,,,C000657245,C5712302,kg_nodes,32367170|33764378|35569448|32616077|33341155|33080002|32483488|34480127|32442528,9
ARDS_POI:01042,covid-19-inflammation-mediated-thrombosis,Covid 19 Inflammation Mediated Thrombosis,POI_mechanism,biological-process,,,,,,mechanism_node,32367170,1
ARDS_POI:01043,delirium-duration,Delirium duration,POI_mechanism,disease-risk-factor,"Duration of delirium during critical illness, associated with long-term cognitive and executive function impairment.",,,D003702,C0011573,robot_template_row,24088092,1
ARDS_POI:01044,global-cognitive-impairment,Global cognitive impairment,POI_outcome,,,,,D002968,C0022407,kg_nodes,24088092,1
ARDS_POI:01045,executive-function-impairment,Executive function impairment,POI_outcome,,,,,D005049,C0014861,kg_nodes,24088092,1
ARDS_POI:01046,critical-illness,Critical illness context,POI_context,,,,,D003287,C0010520,kg_nodes,18434379|33009098|10520649|27755068|9279244|27620292|18283429|25855899|24088092|17138955|16204666|9069000|15078758|23689789|35715504|18511703|12006450|25496103|10477776|33080002|27818331|29508705,22
ARDS_POI:01047,higher-peep-levels,Higher PEEP levels,POI_intervention,lung-protective-ventilation-strategy,Mechanical ventilation with higher positive end-expiratory pressure (PEEP) levels in patients with acute lung injury and ARDS.,,DOID:11394,D012128,C0035222,robot_template_row,15269312,1
ARDS_POI:01048,no-difference-mortality-or-unassisted-breathing,No difference in mortality or unassisted breathing days,POI_outcome,,,,,,,kg_nodes,15269312,1
ARDS_POI:01049,ards,Acute respiratory distress syndrome,POI_context,,,,,D012128,C0035222,kg_nodes,29466596|8630585|27755068|8569018|19841457|8756805|11967593|15269312|14645314|9228372|8810592|32410714|37633303|9559604|32631393|28877748|19903918|27018314|27611637|27179847|24435203|9769263|8111581|8810593|9603127|12709468|12897997|9105072|28222804|10579250|16137357|27734109|11371406|30048331|30776290|11008997|27983872|10470743|9929089|33784486|23497608|18626628|33876268|10404912|17585106|20483951|10789668|11790648|27342819|15774053|19001507|28108768|11897644|17383982|32861275|17133177|9310799,57
ARDS_POI:01050,alveolar-recruitment-pressure-optimization,Alveolar recruitment pressure optimization,POI_mechanism,,,,,,,kg_nodes,15269312,1
ARDS_POI:01051,lung-compliance-optimization,Lung compliance optimization,POI_mechanism,,,,,,,kg_nodes,15269312|8111581,2
ARDS_POI:01052,ventilator-induced-lung-injury-prevention,Ventilator-induced lung injury prevention,POI_mechanism,,,,,,,kg_nodes,15269312,1
ARDS_POI:01053,critically-ill-covid-19-adults-nyc,Critically ill COVID-19 adults in NYC,POI_population,,,,,,,kg_nodes,32442528,1
ARDS_POI:01054,in-hospital-mortality,In-hospital mortality,POI_outcome,,,,,,,kg_nodes,32442528,1
ARDS_POI:01055,invasive-mechanical-ventilation,Invasive mechanical ventilation,POI_outcome,,,,,D053120,C0199926,kg_nodes,32442528|33823862,2
ARDS_POI:01056,vasopressor-use,Vasopressor use,POI_outcome,,,,,,,kg_nodes,32442528,1
ARDS_POI:01057,renal-replacement-therapy,Renal replacement therapy,POI_outcome,,,,,,,kg_nodes,32442528,1
ARDS_POI:01058,time-to-in-hospital-deterioration,Time to in-hospital deterioration,POI_outcome,,,,,,,kg_nodes,32442528,1
ARDS_POI:01059,lung-ultrasound-for-acute-respiratory-failure-diagnosis,lung ultrasound for acute respiratory failure diagnosis,POI_intervention,diagnostic-imaging-technique,"Systematic lung ultrasound assessment including artifacts, lung sliding, consolidation, and pleural effusion to differentiate causes of acute respiratory failure.",BLUE protocol,DOID:11394,D012128,C0035222,robot_template_row,18403664,1
ARDS_POI:01060,lung-ultrasound-artifacts,Lung ultrasound artifacts,POI_mechanism,,,,,,,kg_nodes,18403664,1
ARDS_POI:01061,lung-sliding-assessment,Lung sliding assessment,POI_mechanism,,,,,,,kg_nodes,18403664,1
ARDS_POI:01062,alveolar-consolidation-detection,Alveolar consolidation detection,POI_mechanism,,,,,,,kg_nodes,18403664,1
ARDS_POI:01063,pleural-effusion-detection,Pleural effusion detection,POI_mechanism,,,,,,,kg_nodes,18403664,1
ARDS_POI:01064,ultrasound-profile-integration,Ultrasound profile integration,POI_mechanism,,,,,,,kg_nodes,18403664,1
ARDS_POI:01065,acute-respiratory-failure-diagnosis,Acute respiratory failure diagnosis,POI_outcome,,,,,,,kg_nodes,18403664,1
ARDS_POI:01066,lung-protective-ventilation-strategy,Lung-protective ventilation strategy,POI_intervention,ventilation-strategy,"Ventilation strategy to minimize alveolar recruitment/derecruitment and overdistention, thereby reducing ventilation-induced pulmonary and systemic cytokine response.",,DOID:11394,D012128,C0035222,robot_template_row,23902482|10404912,2
ARDS_POI:01067,reduced-pulmonary-and-systemic-cytokine-response,Reduced pulmonary and systemic cytokine response,POI_outcome,,,,,D006849,C0006850,kg_nodes,10404912,1
ARDS_POI:01068,recruitment-derecruitment-minimization,Recruitment/derecruitment minimization,POI_mechanism,,,,,,,kg_nodes,10404912,1
ARDS_POI:01069,alveolar-overdistention-minimization,Alveolar overdistention minimization,POI_mechanism,,,,,,,kg_nodes,10404912,1
ARDS_POI:01070,mechanical-ventilation-outcomes,Mechanical ventilation outcomes,POI_outcome,,,,,,,kg_nodes,11790214,1
ARDS_POI:01071,ards-mortality,ARDS mortality,POI_outcome,,,,,D012128,C0035222,kg_nodes,11790214|12204859,2
ARDS_POI:01072,copd-exacerbation-mortality,COPD exacerbation mortality,POI_outcome,,,,,D011654,C0024117,kg_nodes,11790214,1
ARDS_POI:01073,copd-exacerbation,COPD exacerbation,POI_disease,,,,,D011654,C0024117,kg_nodes,11790214,1
ARDS_POI:01074,dependent-lung-atelectasis-olv,Dependent lung atelectasis with one-lung ventilation,POI_mechanism,,,,,,,kg_nodes,32479829|12574072|16618955,3
ARDS_POI:01075,postoperative-pulmonary-complications,Postoperative pulmonary complications,POI_outcome,,,,,D011656,C0032943,kg_nodes,32479829|16618955,2
ARDS_POI:01076,one-lung-ventilation,One-lung ventilation,POI_context,,,,,D053120,C0199926,kg_nodes,7599810|11445688|12574072|16352797|32479829,5
ARDS_POI:01077,once-daily-spontaneous-breathing-trial,once-daily spontaneous breathing trial,POI_intervention,weaning-from-mechanical-ventilation,"Ventilator weaning using a single daily trial of spontaneous breathing, rather than multiple or continuous trials.",,,D011895,C0034063,robot_template_row,7823995,1
ARDS_POI:01078,reduced-weaning-duration,Reduced weaning duration,POI_outcome,,,,,,,kg_nodes,7823995|16840741,2
ARDS_POI:01079,increased-successful-weaning-rate,Increased successful weaning rate,POI_outcome,,,,,,,kg_nodes,7823995,1
ARDS_POI:01080,weaning-from-mechanical-ventilation,Weaning from mechanical ventilation,POI_context,,,,,D018118,C0043299,kg_nodes,7823995|12411288|9279224,3
ARDS_POI:01081,ventilator-rate-titration,Ventilator rate titration,POI_mechanism,,,,,,,kg_nodes,7823995,1
ARDS_POI:01082,pressure-support-ventilation-weaning,Pressure support ventilation weaning,POI_mechanism,,,,,,,kg_nodes,7823995,1
ARDS_POI:01083,spontaneous-breathing-trial-frequency,Spontaneous breathing trial frequency,POI_mechanism,,,,,,,kg_nodes,7823995,1
ARDS_POI:01084,ards-subphenotype-identification,ARDS subphenotype identification,POI_intervention,disease-subphenotype-discovery,Latent class analysis to identify distinct subphenotypes within acute respiratory distress syndrome based on clinical and biological data.,,DOID:11394,D012128,C0035222,robot_template_row,24853585,1
ARDS_POI:01085,ards-hyperinflammatory-phenotype,ARDS hyperinflammatory subphenotype,POI_outcome,,,,,,,kg_nodes,24853585,1
ARDS_POI:01086,higher-mortality-fewer-vfds-fewer-offd,"Higher mortality, fewer ventilator-free days, fewer organ failure-free days",POI_outcome,,,,,,,kg_nodes,24853585,1
ARDS_POI:01087,differential-peep-response-by-phenotype,Differential PEEP response by ARDS subphenotype,POI_outcome,,,,,,,kg_nodes,24853585,1
ARDS_POI:01088,ards-inflammation-severity,Ards Inflammation Severity,POI_mechanism,biological-process,,,,,,mechanism_node,24853585,1
ARDS_POI:01089,ards-shock-metabolic-acidosis,Ards Shock Metabolic Acidosis,POI_mechanism,biological-process,,,,,,mechanism_node,24853585,1
ARDS_POI:01090,berlin-definition-for-ards,Berlin definition for ARDS,POI_intervention,ards-diagnostic-criteria,"3 categories of ARDS based on hypoxemia severity (mild, moderate, severe), with explicit criteria for timing, edema origin, and chest radiograph.",,DOID:11394,D012128,C0035222,robot_template_row,23370917|29466596,2
ARDS_POI:01091,berlin-definition-ards-severity-criteria,Berlin definition ARDS criteria,POI_intervention,,,,,D012128,C0035222,kg_nodes,29466596,1
ARDS_POI:01092,improved-ards-diagnosis,Improved ARDS diagnosis,POI_outcome,,,,,,,kg_nodes,29466596,1
ARDS_POI:01093,minimise-ventilator-induced-lung-injury,Minimize ventilator-induced lung injury,POI_intervention,,,,,,,kg_nodes,29466596,1
ARDS_POI:01094,reduced-ards-mortality,Reduced ARDS mortality,POI_outcome,,,,,,,kg_nodes,7924367|29466596,2
ARDS_POI:01095,prone-positioning-ards,Prone positioning for ARDS,POI_intervention,,,,,,,kg_nodes,29466596|19903918|14668608,3
ARDS_POI:01096,pharmacologic-interventions-ineffective-ards,Ineffective pharmacologic interventions for ARDS,POI_intervention,,,,,,,kg_nodes,29466596,1
ARDS_POI:01097,no-benefit-ards-treatments,No benefit of pharmacologic ARDS treatments,POI_outcome,,,,,,,kg_nodes,29466596,1
ARDS_POI:01098,reduced-major-pulmonary-and-extrapulmonary-complications-7d,Reduced major pulmonary and extrapulmonary complications within 7 days,POI_outcome,,,,,D011656,C0032943,kg_nodes,23902482,1
ARDS_POI:01099,major-abdominal-surgery,Major abdominal surgery context,POI_context,,,,,,,kg_nodes,23902482|11965272,2
ARDS_POI:01100,experimental-ventilation-strategy-for-ards,Experimental ventilation strategy for ARDS,POI_intervention,lung-protective-ventilation-strategy,"Ventilation strategy using low tidal volumes, recruitment maneuvers, and high positive end-expiratory pressure for acute lung injury and acute respiratory distress syndrome.",,DOID:11394,D012128,C0035222,robot_template_row,18270352,1
ARDS_POI:01101,target-tidal-volumes-6-ml-kg-predicted-body-weight,Target tidal volumes of 6 mL/kg of predicted body weight,POI_intervention,,,,,,,kg_nodes,18270352,1
ARDS_POI:01102,plateau-pressures-not-exceeding-40-cm-h2o,Plateau pressures not exceeding 40 cm H2O,POI_intervention,,,,,,,kg_nodes,18270352,1
ARDS_POI:01103,recruitment-maneuvers,Recruitment maneuvers,POI_intervention,,,,DOID:11394,D012128,C0035222,kg_nodes,11790648|18270352,2
ARDS_POI:01104,higher-positive-end-expiratory-pressures,Higher positive end-expiratory pressures,POI_intervention,,,,,,,kg_nodes,18270352,1
ARDS_POI:01105,reduced-mortality-ards,Reduced mortality in ARDS,POI_outcome,,,,,D012128,C0035222,kg_nodes,9669790|8814466|19325471|18626628|33784486|18270352|9449728|9105072|9847275|21666446|28222804,11
ARDS_POI:01106,reduced-barotrauma-ards,Reduced barotrauma in ARDS,POI_outcome,,,,,D012128,C0035222,kg_nodes,11967593|18270352,2
ARDS_POI:01107,reduced-refractory-hypoxemia-ards,Reduced refractory hypoxemia in ARDS,POI_outcome,,,,,D012128,C0035222,kg_nodes,18270352,1
ARDS_POI:01108,reduced-death-refractory-hypoxemia-ards,Reduced death with refractory hypoxemia in ARDS,POI_outcome,,,,,D012128,C0035222,kg_nodes,18270352,1
ARDS_POI:01109,early-icu-mobility-therapy-protocol,Early ICU mobility therapy protocol,POI_intervention,physical-therapy-for-critical-illness,A protocol using an ICU mobility team to initiate physical therapy within 48 hours of mechanical ventilation for acute respiratory failure.,ICU mobility protocol,DOID:11394,D012128,C0035222,robot_template_row,18596631,1
ARDS_POI:01110,early-physical-therapy-icu,Early physical therapy in ICU,POI_intervention,,,,,,,kg_nodes,18596631,1
ARDS_POI:01111,increased-pt-provision-icu-survivors,Increased physical therapy provision in ICU survivors,POI_outcome,,,,,D010996,C0034867,kg_nodes,18596631,1
ARDS_POI:01112,reduced-icu-length-of-stay,Reduced ICU length of stay,POI_outcome,,,,,D007835,C0023013,kg_nodes,10634340|27734109|7874950|18596631|9556465|15599160,6
ARDS_POI:01113,reduced-hospital-length-of-stay,Reduced hospital length of stay,POI_outcome,,,,,D006801,C0022727,kg_nodes,9872200|18596631,2
ARDS_POI:01114,acute-respiratory-failure,Acute respiratory failure,POI_intervention,,,,,D011655,C0034065,kg_nodes,26651376|9700176|35569448|11035684|27755068|12447511|18090351|31408142|8542113|27367766|21666446|11990914|10634340|18629471|21958974|11529210|18596631|10712326|12958051|25062496|21242788|20581167,22
ARDS_POI:01115,immobilization-weakness-critical-illness,Immobilization Weakness Critical Illness,POI_mechanism,biological-process,,,,,,mechanism_node,18596631,1
ARDS_POI:01116,dexamethasone-for-covid-19-associated-ards,Dexamethasone for COVID-19-associated ARDS,POI_intervention,glucocorticoid-therapy,"Intravenous dexamethasone 20 mg daily for 5 days, then 10 mg daily for 5 days or until ICU discharge, for treatment of COVID-19-associated ARDS.",,DOID:11394,D012128,C0035222,robot_template_row,32876695,1
ARDS_POI:01117,dexamethasone-covid19-ards-treatment,Dexamethasone for COVID-19-associated ARDS,POI_intervention,,,,,,,kg_nodes,32876695,1
ARDS_POI:01118,increased-ventilator-free-days-28d,Increased ventilator-free days at 28 days,POI_outcome,,,,,,,kg_nodes,32876695,1
ARDS_POI:01119,improved-sofa-score-7d,Improved SOFA score at 7 days,POI_outcome,,,,,,,kg_nodes,32876695,1
ARDS_POI:01120,covid19-ards,COVID-19-associated ARDS,POI_disease,,,,DOID:11394,D012128,C0035222,kg_nodes,32876695,1
ARDS_POI:01121,prone-positioning,prone positioning,POI_intervention,ventilation-strategy,Placing patients in a prone (face down) position for six or more hours daily for 10 days.,,DOID:11394,D012128,C0035222,robot_template_row,19903918|24102072|24435203|33823862|33464919|14668608|11529210,7
ARDS_POI:01122,prone-positioning-in-acute-respiratory-failure,Prone positioning in acute respiratory failure,POI_intervention,,,,,,,kg_nodes,11529210,1
ARDS_POI:01123,improved-oxygenation,Improved oxygenation,POI_outcome,,,,,D010375,C0029863,kg_nodes,15547166|34425070|16096441|19001507|16081548|17383982|28762180|11529210,8
ARDS_POI:01124,no-survival-benefit,No survival benefit,POI_outcome,,,,,,,kg_nodes,11529210,1
ARDS_POI:01125,oxygenation-improvement-prone-positioning,Oxygenation Improvement Prone Positioning,POI_mechanism,biological-process,,,,,,mechanism_node,11529210,1
ARDS_POI:01126,no-survival-benefit-prone-positioning,No Survival Benefit Prone Positioning,POI_mechanism,biological-process,,,,,,mechanism_node,11529210,1
ARDS_POI:01127,treatment-protocol-for-acute-chest-syndrome-in-sickle-cell-disease,Treatment protocol for acute chest syndrome in sickle cell disease,POI_intervention,sickle-cell-disease-management,"Treatment protocol including matched transfusions, bronchodilators, and bronchoscopy for acute chest syndrome in sickle cell disease.",,,,,robot_template_row,10861320,1
ARDS_POI:01128,acute-chest-syndrome,Acute chest syndrome,POI_disease,,,,,,,kg_nodes,10861320,1
ARDS_POI:01129,sickle-cell-disease,Sickle cell disease,POI_disease,,,,,D012719,C0036341,kg_nodes,10861320,1
ARDS_POI:01130,matched-transfusions,Matched transfusions,POI_intervention,,,,,D001522,C0013384,kg_nodes,10861320,1
ARDS_POI:01131,bronchodilators,Bronchodilators,POI_intervention,,,,,D001960,C0006078,kg_nodes,10861320,1
ARDS_POI:01132,bronchoscopy,Bronchoscopy,POI_intervention,,,,,D001976,C0006118,kg_nodes,10861320,1
ARDS_POI:01133,fat-embolism,Fat embolism,POI_mechanism,,,,,D005151,C0014652,kg_nodes,10861320,1
ARDS_POI:01134,community-acquired-pneumonia,Community-acquired pneumonia,POI_mechanism,,,,,D011024,C0032285,kg_nodes,10861320|26258555|12204871,3
ARDS_POI:01135,infection,Infection,POI_mechanism,,,,,D007239,C0021311,kg_nodes,10861320|12006450,2
ARDS_POI:01136,non-invasive-ventilation,non-invasive ventilation,POI_intervention,ventilation-strategy,Non-invasive ventilation to improve survival and quality of life in patients with amyotrophic lateral sclerosis.,NIV,DOID:11110,D000690,C0023272,robot_template_row,19183949|16426990|21424246,3
ARDS_POI:01137,non-invasive-ventilation-niv,Non-invasive ventilation,POI_intervention,,,,,,,kg_nodes,16426990|21424246,2
ARDS_POI:01138,improved-survival-als,Improved survival in ALS,POI_outcome,,,,,D000690,C0023272,kg_nodes,16426990,1
ARDS_POI:01139,improved-quality-of-life-als,Improved quality of life in ALS,POI_outcome,,,,,D000690,C0023272,kg_nodes,16426990,1
ARDS_POI:01140,amyotrophic-lateral-sclerosis,Amyotrophic lateral sclerosis,POI_disease,,,,,D000690,C0023272,kg_nodes,16426990,1
ARDS_POI:01141,without-severe-bulbar-dysfunction,Without severe bulbar dysfunction,POI_context,,,,,,,kg_nodes,16426990,1
ARDS_POI:01142,mechanical-ventilation-guided-by-esophageal-pressure,Mechanical ventilation guided by esophageal pressure,POI_intervention,lung-protective-ventilation-strategy,Mechanical ventilation with PEEP adjusted according to esophageal pressure measurements to estimate transpulmonary pressure and optimize alveolar recruitment.,,DOID:11394,D012128,C0035222,robot_template_row,19001507,1
ARDS_POI:01143,transpulmonary-pressure-monitoring,Transpulmonary pressure monitoring,POI_mechanism,,,,,,,kg_nodes,19001507,1
ARDS_POI:01144,alveolar-recruitment-optimization,Alveolar recruitment optimization,POI_mechanism,,,,,,,kg_nodes,19001507,1
ARDS_POI:01145,prevention-of-alveolar-collapse,Prevention of alveolar collapse,POI_mechanism,,,,,,,kg_nodes,19001507,1
ARDS_POI:01146,prevention-of-alveolar-overdistension,Prevention of alveolar overdistension,POI_mechanism,,,,,,,kg_nodes,19001507,1
ARDS_POI:01147,ventilation-guided-esophageal-pressure,Ventilation guided by esophageal pressure,POI_intervention,,,,,,,kg_nodes,19001507,1
ARDS_POI:01148,improved-respiratory-compliance,Improved respiratory compliance,POI_outcome,,,,,,,kg_nodes,8520744|19001507,2
ARDS_POI:01149,restrictive-red-blood-cell-transfusion-strategy,Restrictive red blood cell transfusion strategy,POI_intervention,anemia-management-strategy,Maintain hematocrit ≥24% in patients undergoing cardiac surgery with cardiopulmonary bypass.,,DOID:650,D000740,C0001625,robot_template_row,20940381,1
ARDS_POI:01150,similar-30d-mortality-severe-morbidity-vs-liberal,Similar 30-day mortality and severe morbidity vs liberal strategy,POI_outcome,,,,,,,kg_nodes,20940381,1
ARDS_POI:01151,cardiac-surgery-with-cardiopulmonary-bypass,Cardiac surgery with cardiopulmonary bypass,POI_context,,,,,,,kg_nodes,20940381,1
ARDS_POI:01152,anemia,Anemia,POI_disease,,,,DOID:650,D000740,C0001625,kg_nodes,20940381,1
ARDS_POI:01153,epidural-anaesthesia-and-analgesia,epidural anaesthesia and analgesia,POI_intervention,perioperative-pain-management,Use of epidural anaesthesia intraoperatively and epidural analgesia postoperatively for major abdominal surgery.,,,,,robot_template_row,11965272,1
ARDS_POI:01154,reduced-respiratory-failure,Reduced respiratory failure,POI_outcome,,,,,,,kg_nodes,11965272,1
ARDS_POI:01155,reduced-postoperative-pain,Reduced postoperative pain,POI_outcome,,,,,,,kg_nodes,11965272,1
ARDS_POI:01156,no-difference-in-major-adverse-outcomes,No difference in major adverse outcomes,POI_outcome,,,,,,,kg_nodes,11965272,1
ARDS_POI:01157,high-risk-population,High-risk population context,POI_context,,,,,,,kg_nodes,11965272,1
ARDS_POI:01158,noninvasive-positive-pressure-ventilation,Noninvasive positive-pressure ventilation,POI_intervention,mechanical-ventilation-strategy,Noninvasive ventilation delivered through a face mask for patients with acute respiratory failure.,,DOID:11394,D012128,C0035222,robot_template_row,9700176|8147550|8797425|9872200|10712326|17133177|15483407|15599160|11673215,9
ARDS_POI:01159,improved-pao2-fio2-ratio-1h,Improved PaO2:FiO2 ratio within 1 hour,POI_outcome,,,,,,,kg_nodes,9700176,1
ARDS_POI:01160,reduced-serious-complications,Reduced serious complications,POI_outcome,,,,,,,kg_nodes,9700176,1
ARDS_POI:01161,reduced-pneumonia-sinusitis-related-to-intubation,Reduced pneumonia/sinusitis related to intubation,POI_outcome,,,,,,,kg_nodes,9700176,1
ARDS_POI:01162,shorter-ventilation-duration-icu-los,Shorter ventilation duration and ICU LOS,POI_outcome,,,,,,,kg_nodes,9700176,1
ARDS_POI:01163,growth-hormone-administration,growth hormone administration,POI_intervention,treatment,Administration of growth hormone to critically ill adults hospitalized for prolonged periods.,,,D006400,C0018400,robot_template_row,10477776,1
ARDS_POI:01164,increased-in-hospital-mortality,Increased in-hospital mortality,POI_outcome,,,,,D008288,C0085604,kg_nodes,25855899|23339639|10477776|33341155|25466352,5
ARDS_POI:01165,prolonged-hospitalization,Prolonged hospitalization,POI_context,,,,,,,kg_nodes,10477776,1
